CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
4356238,1/2/15 16:17,1/31/15 7:08,1/31/15 7:08,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Overgrown Tree,Pruning request,"2112 LAKE ST, SAN FRANCISCO, CA, 94121",2,Lake Street,"(37.785998818775, -122.482306891477)",Voice In,
4355907,1/2/15 14:59,4/1/15 7:23,4/1/15 7:23,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:'Drake'  SS is resending this request, per SR# above. There is a small stump. ::   ::  Closed By CMMS SO 459467from CMMS: .   BUF Action:Remove Stump. date completed - 4/1/2015. "".",DPW Ops Queue,Tree Maintenance,Landscaping,Empty tree basin,"3340 FOLSOM ST, SAN FRANCISCO, CA, 94110",9,Bernal Heights,"(37.744424961194, -122.413467047622)",Voice In,
4355898,1/2/15 14:58,1/16/15 9:42,1/16/15 9:42,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Overgrown Tree,Pruning request,"1331 ALEMANY BLVD, SAN FRANCISCO, CA, 94112",11,Mission Terrace,"(37.729354756635, -122.433650531072)",Voice In,
4355886,1/2/15 14:56,,1/2/15 14:57,Open,accepted,DPW Ops Queue,Tree Maintenance,Damaging Property,Lifted sidewalk tree roots,"1331 ALEMANY BLVD, SAN FRANCISCO, CA, 94112",11,Mission Terrace,"(37.729354756635, -122.433650531072)",Voice In,
4355873,1/2/15 14:54,1/14/15 2:57,1/14/15 2:57,Closed,Case Completed - resolved: Communications lines are low voltage power lines trimming is not required for these wires,DPW Ops Queue,Tree Maintenance,Overgrown Tree,Near communication line,"322 15TH AVE, SAN FRANCISCO, CA, 94118",1,Inner Richmond,"(37.781959341863, -122.473911287701)",Voice In,
4355871,1/2/15 14:54,1/16/15 10:50,1/16/15 10:50,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:Limb failure from trunk inclusions. No debris in ROW. Trees require clearance above street and sidewalk. Some Structural pruning possible..   BUF Action:Inspect. date completed - 1/16/2015. "".",DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"180 BEAVER ST, SAN FRANCISCO, CA, 94114",8,Corona Heights,"(37.765547911156, -122.43680111922)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54a72186df866c252cc0e576/report.jpg
4355636,1/2/15 14:04,1/8/15 7:36,1/8/15 7:36,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Damaged Tree,Hanging limb,"2123 FRANKLIN ST, SAN FRANCISCO, CA, 94109",2,Pacific Heights,"(37.793996984608, -122.425018285455)",Voice In,
4355545,1/2/15 13:48,1/22/15 12:00,1/22/15 12:00,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:Letter created for empty basin..   BUF Action:Inspect. date completed - 1/22/2015. "".",DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,Intersection of HYDE ST and OFARRELL ST,6,Tenderloin,"(37.7853759283045, -122.416259782281)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54a71224df866c252cc0e4c9/photo_20150102_134816.jpg
4355519,1/2/15 13:43,7/21/15 7:44,7/21/15 7:44,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Overgrown Tree,Blocking street lights,"2000 HYDE ST, SAN FRANCISCO, CA, 94109",2,Russian Hill,"(37.799408411466, -122.418888421411)",Voice In,
4355321,1/2/15 12:50,1/7/15 6:39,1/7/15 6:39,Closed,Case Completed - resolved: removed down limbs,DPW Ops Queue,Tree Maintenance,Tree Other,Other,"3700 GEARY BLVD, SAN FRANCISCO, CA, 94118",2,Laurel Heights / Jordan Park,"(37.78143293106, -122.459238790512)",Integrated Agency,
4355077,1/2/15 11:55,2/26/15 11:22,2/26/15 11:22,Closed,Case Completed - resolved:,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"727 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",3,Russian Hill,"(37.801325506261, -122.411876826506)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54a6f7b8df866c252cc0e384/photo_20150102_115343.jpg
4355014,1/2/15 11:42,1/4/15 11:00,1/4/15 11:00,Closed,Case Completed - resolved:,DPW Ops Queue,Tree Maintenance,Damaged Tree,Fallen tree,Intersection of ARCH ST and BROTHERHOOD WAY,11,Merced Heights,"(37.7124218702048, -122.467072631897)",Voice In,
4354728,1/2/15 10:50,10/28/15 11:00,10/28/15 11:00,Closed,Case Completed - resolved: Closed: No response from Cement Shop in 1 month,DPW Ops Queue,Tree Maintenance,Damaging Property,Sewer damage tree roots,"143 MONTEREY BLVD, SAN FRANCISCO, CA, 94131",7,Sunnyside,"(37.731419381364, -122.438458747004)",Voice In,
4354511,1/2/15 10:06,1/6/15 8:58,1/6/15 8:58,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Damaged Tree,Fallen tree,"805 MEADE AVE, SAN FRANCISCO, CA, 94124",10,Bret Harte,"(37.71708593151, -122.396380386924)",Voice In,
4354510,1/2/15 10:06,1/6/15 9:00,1/6/15 9:00,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Damaged Tree,Fallen tree,"324 HILL ST, SAN FRANCISCO, CA, 94114",8,Dolores Heights,"(37.755743547143, -122.428619119784)",Voice In,
4354026,1/2/15 8:16,1/6/15 9:03,1/6/15 9:03,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Damaged Tree,Fallen tree,Intersection of 24TH ST and TREAT AVE,9,Mission,"(37.7525728208692, -122.412995081497)",Voice In,
4353826,1/2/15 5:21,1/5/15 7:01,1/5/15 7:01,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Damaged Tree,About to fall,Intersection of HAIGHT ST and PIERCE ST,5,Lower Haight,"(37.7716883792214, -122.433734607739)",Voice In,
4353815,1/2/15 4:04,1/8/15 2:36,1/8/15 2:36,Closed,Case Completed - resolved:,DPW Ops Queue,Tree Maintenance,Tree Other,Other,"731 COLUMBUS AVE, SAN FRANCISCO, CA, 94133",3,Russian Hill,"(37.801330948237, -122.412011205882)",Integrated Agency,
4358705,1/3/15 17:34,1/6/15 9:20,1/6/15 9:20,Closed,Case Completed - resolved:,DPW Ops Queue,Tree Maintenance,Tree Other,Other,Intersection of 3RD ST and HUDSON AVE,10,Bayview,"(37.7403173037502, -122.388754708899)",Integrated Agency,
4358334,1/3/15 15:15,1/15/15 6:39,1/15/15 6:39,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Landscaping,Other,"1051 BUSH ST, SAN FRANCISCO, CA, 94109",3,Lower Nob Hill,"(37.78914229155, -122.414520756656)",Open311,
4358333,1/3/15 15:15,1/4/15 10:02,1/4/15 10:02,Closed,Case Completed - resolved:  BOX NO PACKER ON DUTY,DPW Ops Queue,Tree Maintenance,Damaged Tree,Fallen tree,"201 MENDELL ST, SAN FRANCISCO, CA, 94124",10,India Basin,"(37.741398489009, -122.383491301696)",Web Self Service,
4358080,1/3/15 13:32,2/27/15 3:02,2/27/15 3:02,Closed,Case Completed - resolved: All privately maintained trees on this street,DPW Ops Queue,Tree Maintenance,Tree Other,Other,"68 BROADMOOR DR, SAN FRANCISCO, CA, 94132",7,Stonestown,"(37.72743885279, -122.473362549203)",Voice In,
4357847,1/3/15 12:13,1/6/15 9:04,1/6/15 9:04,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Damaged Tree,Fallen tree,Intersection of BAY VIEW ST and POMONA ST,10,Silver Terrace,"(37.7326154433321, -122.393242368816)",Voice In,
4357804,1/3/15 12:04,,1/3/15 12:05,Open,accepted,DPW Ops Queue,Tree Maintenance,Damaged Tree,Other enter additional details below,"1979 CLAY ST, SAN FRANCISCO, CA, 94109",2,Pacific Heights,"(37.791690561888, -122.42550938136)",Voice In,
4361019,1/4/15 19:50,1/5/15 20:18,1/5/15 20:18,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"901 GUERRERO ST, SAN FRANCISCO, CA, 94110",8,Dolores Heights,"(37.756671952749, -122.423146696045)",Open311,
4360691,1/4/15 17:22,2/20/15 10:26,2/20/15 10:26,Closed,Case Completed - resolved: no flooded basins on portola,DPW Ops Queue,Tree Maintenance,Tree Other,Other,Intersection of OSHAUGHNESSY BLVD and PORTOLA DR,7,Miraloma Park,"(37.7455341106614, -122.451623935751)",Open311,
4360265,1/4/15 14:45,1/4/15 16:17,1/4/15 16:17,Closed,Case Completed - resolved: 10/98,DPW Ops Queue,Tree Maintenance,Damaged Tree,Hanging limb,"390 9TH ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.772585672613, -122.410396654781)",Voice In,
4360050,1/4/15 13:31,1/15/15 2:10,1/15/15 2:10,Closed,Case Completed - resolved: tree os fine,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"2245 IRVING ST, SAN FRANCISCO, CA, 94122",4,Outer Sunset,"(37.763198834938, -122.482240648963)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54a9b10ddf866c252cc0f9a8/report.jpg
4359976,1/4/15 13:08,1/6/15 10:42,1/6/15 10:42,Closed,"Case Completed - resolved: this tree has been leaning like this for several years, and it is privately maintained. Correct address is 1548 12th Ave. no indication of uprooting or any recent changes to the tree.",DPW Ops Queue,Tree Maintenance,Damaged Tree,About to fall,"1550 12TH AVE, SAN FRANCISCO, CA, 94122",7,Inner Sunset,"(37.759214707525, -122.46903547162)",Voice In,
4359847,1/4/15 12:19,1/4/15 14:21,1/4/15 14:21,Closed,Case Completed - resolved: 10/98,DPW Ops Queue,Tree Maintenance,Damaged Tree,Fallen tree,"1857 LOMBARD ST, SAN FRANCISCO, CA, 94123",2,Union Street,"(37.800186822264, -122.432029682791)",Voice In,
4359184,1/4/15 5:45,1/5/15 1:17,1/5/15 1:17,Closed,Case Completed - resolved: the tree is at sw corner of masoniic and haight. the graffiti team was already notified,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"1231 MASONIC AVE, SAN FRANCISCO, CA, 94117",5,Haight Ashbury,"(37.769767602044, -122.445448627563)",Voice In,
4365542,1/5/15 23:32,5/20/15 5:00,5/20/15 5:00,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Overgrown Tree,Pruning request,"1879 OAK ST, SAN FRANCISCO, CA, 94117",5,Haight Ashbury,"(37.771372181457, -122.450217310558)",Web Self Service,
4364644,1/5/15 16:37,3/31/15 5:09,3/31/15 5:09,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  BUF Action:Plant. date completed - 3/31/2015. "".",DPW Ops Queue,Tree Maintenance,Tree Other,Other,"2098 LOMBARD ST, SAN FRANCISCO, CA, 94123",2,Marina,"(37.800030196398, -122.435779280023)",Open311,
4364367,1/5/15 15:43,1/26/15 2:27,1/26/15 2:27,Closed,Case Completed - resolved: planting request sent to cmms,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"1285 OAK ST, SAN FRANCISCO, CA, 94117",5,Buena Vista,"(37.772626210607, -122.440424945301)",Open311,
4364151,1/5/15 14:57,1/12/15 12:00,1/12/15 12:00,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:Letter created, stop sign.   BUF Action:Inspect. date completed - 1/12/2015. "".",DPW Ops Queue,Tree Maintenance,Overgrown Tree,Blocking signs,Intersection of 27TH ST and DIAMOND ST,8,Noe Valley,"(37.7463726826006, -122.435840817747)",Web Self Service,
4363915,1/5/15 14:15,1/7/15 12:00,1/7/15 12:00,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:small branch cracked off on a private tree. The branch is not in danger of detaching . it is well marked with yellow tape..   BUF Action:Inspect. date completed - 1/7/2015. "".",DPW Ops Queue,Tree Maintenance,Damaged Tree,Hanging limb,"1 MARKET ST, SAN FRANCISCO, CA, 94105",3,Financial District,"(37.79383556954, -122.394783364365)",Voice In,
4363316,1/5/15 12:38,1/20/15 3:12,1/20/15 3:12,Closed,Case Completed - resolved: These are privately maintained trees the property owner will be required to replant,DPW Ops Queue,Tree Maintenance,Damaged Tree,Other enter additional details below,Intersection of HARRISON ST and MARIPOSA ST,9,Mission,"(37.7628731376774, -122.412898754183)",Web Self Service,
4363143,1/5/15 12:10,1/14/15 3:49,1/14/15 3:49,Closed,Case Completed - resolved: Privately maintained trees need to be properly trained as per ISA standards .   Tree is clear of,DPW Ops Queue,Tree Maintenance,Overgrown Tree,Pruning request,"850 BRODERICK ST, SAN FRANCISCO, CA, 94115",5,Western Addition,"(37.778320079443, -122.440018860895)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54aaef9edf866c252cc108bd/photo_20150105_120932.jpg
4363064,1/5/15 11:54,1/30/15 2:17,1/30/15 2:17,Closed,Case Completed - resolved: Request Letter Sent.,DPW Ops Queue,Tree Maintenance,Overgrown Tree,Blocking signs,Intersection of GENEBERN WAY and MURRAY ST,9,St. Mary's Park,"(37.7335479115753, -122.425034662245)",Voice In,
4362604,1/5/15 10:41,2/19/15 2:33,2/19/15 2:33,Closed,"Case Completed - resolved: request to cmms made, still pending",DPW Ops Queue,Tree Maintenance,Overgrown Tree,Pruning request,"42 RICHARDSON AVE, SAN FRANCISCO, CA, 94123",2,Marina,"(37.799166635247, -122.445088310953)",Voice In,
4362542,1/5/15 10:30,1/6/15 6:29,1/6/15 6:29,Closed,Case Completed - resolved: Removed hanger,DPW BUF Queue,Tree Maintenance,Damaged Tree,Hanging limb,Intersection of SLOAT BLVD and SUNSET BLVD ON RAMP,7,Lakeshore,"(37.7338364114598, -122.493337731089)",Voice In,
4362427,1/5/15 10:15,1/9/15 9:17,1/9/15 9:17,Closed,Case Completed - resolved: SS inspected 01/09/15 and following up with SK about posting. Tree removal request pending. To call customer at desk.,DPW Ops Queue,Tree Maintenance,Tree Other,Other,"1714 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.769612423935, -122.420305772418)",Voice In,
4362350,1/5/15 10:03,1/29/15 3:15,1/29/15 3:15,Closed,Case Completed - resolved: initiate fine process,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"345 COLON AVE, SAN FRANCISCO, CA, 94127",7,Westwood Highlands,"(37.731882141152, -122.456835677034)",Web Self Service,
4362342,1/5/15 10:01,1/7/15 12:00,1/7/15 12:00,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:Following up on what correspondences were in recent months. Assuming pave over request. Will follow-up accordingly. Basin still not paved. .   BUF Action:Inspect. date completed - 1/7/2015. "".",DPW Ops Queue,Tree Maintenance,Landscaping,Backfill tree basin,"185 14TH ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.768257987614, -122.417473219081)",Voice In,
4362338,1/5/15 10:00,1/29/15 12:00,1/29/15 12:00,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  BUF Action:Inspect. date completed - 1/29/2015. "".",DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"435 COLON AVE, SAN FRANCISCO, CA, 94127",7,Westwood Highlands,"(37.732876798191, -122.457552042015)",Web Self Service,
4362335,1/5/15 10:00,1/26/15 8:50,1/26/15 8:50,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:Please prune branches off and away from building facade and roof. ::  Closed By CMMS SO 459468.   BUF Action:Prune. date completed - 1/26/2015. "".",DPW Ops Queue,Tree Maintenance,Damaging Property,Hitting window or building,"3274 FOLSOM ST, SAN FRANCISCO, CA, 94110",9,Bernal Heights,"(37.745623842326, -122.413582558723)",Web Self Service,
4361681,1/5/15 8:17,1/15/15 3:10,1/15/15 3:10,Closed,Case Completed - resolved: ss and em are working on this. 1/15/2015 1/15/15: Woojoo Chung mailed letter to property owner. Closing request.,DPW Ops Queue,Tree Maintenance,Landscaping,Empty tree basin,"2583 PINE ST, SAN FRANCISCO, CA, 94115",5,Lower Pacific Heights,"(37.787231427754, -122.438311598759)",Voice In,
4361520,1/5/15 7:40,1/6/15 8:46,1/6/15 8:46,Closed,Case Completed - resolved:,DPW Ops Queue,Tree Maintenance,Tree Other,Other,Intersection of BAY VIEW ST and POMONA ST,10,Silver Terrace,"(37.7326154433321, -122.393242368816)",Integrated Agency,
4368176,1/6/15 15:24,,1/6/15 15:25,Open,accepted,DPW Ops Queue,Tree Maintenance,Damaging Property,Sewer damage tree roots,"1718 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.769607515366, -122.420267135862)",Voice In,
4367956,1/6/15 14:39,1/9/15 8:06,1/9/15 8:06,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Damaged Tree,Fallen tree,"755 MISSOURI ST, SAN FRANCISCO, CA, 94107",10,Potrero Hill,"(37.757206897501, -122.395637152959)",Voice In,
4367750,1/6/15 14:04,1/12/15 9:09,1/12/15 9:09,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Tree Other,Other,"2239 25TH AVE, SAN FRANCISCO, CA, 94116",4,Parkside,"(37.745735389543, -122.482465353234)",Voice In,
4367703,1/6/15 13:55,,1/6/15 13:56,Open,accepted,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"1486 WALLER ST, SAN FRANCISCO, CA, 94117",5,Haight Ashbury,"(37.769002406367, -122.448181646028)",Voice In,http://mobile311.sfgov.org/media/san_francisco/report/photos/54ac4894df866c252cc12053/report.jpg
4367442,1/6/15 13:00,,1/6/15 13:00,Open,accepted,DPW Ops Queue,Tree Maintenance,Damaged Tree,Other enter additional details below,Intersection of BARNEVELD AVE and DORMAN AVE,10,Apparel City,"(37.7392489491646, -122.404391968061)",Web Self Service,
4367403,1/6/15 12:54,1/16/15 4:20,1/16/15 4:20,Closed,Case Completed - resolved: Request Letter Sent.   SS inspected 01/16/15. Previous correspondences mailed requesting new tree. If application not recieved in 30 days will send warning letter.,DPW Ops Queue,Tree Maintenance,Damaged Tree,Other enter additional details below,"2964 25TH ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.751219603762, -122.409355678735)",Web Self Service,
4367385,1/6/15 12:50,2/19/15 12:00,2/19/15 12:00,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:Letter created.   BUF Action:Inspect. date completed - 2/19/2015. "".",DPW Ops Queue,Tree Maintenance,Damaged Tree,Other enter additional details below,"1315 PINE ST, SAN FRANCISCO, CA, 94109",3,Lower Nob Hill,"(37.789860950206, -122.417461222031)",Web Self Service,
4367357,1/6/15 12:46,1/30/15 12:53,1/30/15 12:53,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  BUF Action:Remove-Plant (Landscape): CMMS. date completed - 1/30/2015. "".",DPW Ops Queue,Tree Maintenance,Damaged Tree,Dead tree,"2065 OAKDALE AVE, SAN FRANCISCO, CA, 94124",10,Silver Terrace,"(37.739479081165, -122.399239702796)",Web Self Service,
4367345,1/6/15 12:44,1/6/15 17:15,1/6/15 17:15,Closed,Case Completed - resolved: Request Letter Sent.,DPW Ops Queue,Tree Maintenance,Damaged Tree,Other enter additional details below,"1696 MCKINNON AVE, SAN FRANCISCO, CA, 94124",10,Bayview,"(37.736942264613, -122.390802415198)",Web Self Service,
4367326,1/6/15 12:42,1/6/15 17:14,1/6/15 17:14,Closed,Case Completed - resolved: Request Letter Sent.,DPW Ops Queue,Tree Maintenance,Damaged Tree,Dead tree,"1607 LA SALLE AVE, SAN FRANCISCO, CA, 94124",10,Bayview,"(37.736477034705, -122.388945940845)",Web Self Service,
4367305,1/6/15 12:40,1/6/15 17:16,1/6/15 17:16,Closed,Case Completed - resolved: Request Letter Sent.   Privately maintained tree,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"1501 KIRKWOOD AVE, SAN FRANCISCO, CA, 94124",10,Bayview,"(37.73708102401, -122.388346159561)",Web Self Service,
4367252,1/6/15 12:32,1/6/15 17:16,1/6/15 17:16,Closed,Case Completed - resolved: initiate fine process,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"1566 KIRKWOOD AVE, SAN FRANCISCO, CA, 94124",10,Bayview,"(37.737797964295, -122.389039520458)",Web Self Service,
4367244,1/6/15 12:31,1/6/15 17:15,1/6/15 17:15,Closed,Case Completed - resolved: Illegal removal initiate fine process. check srs first.,DPW Ops Queue,Tree Maintenance,Damaged Tree,Other enter additional details below,"4346 3RD ST, SAN FRANCISCO, CA, 94124",10,Bayview,"(37.738399839716, -122.389558836027)",Web Self Service,
4367222,1/6/15 12:28,1/8/15 12:00,1/8/15 12:00,Closed,"Case Completed - resolved:  Request closed by SES .  Notes = ""  Notes:tree severely topped, has trunk wounds, not in best condition..   BUF Action:Inspect. date completed - 1/8/2015. "".",DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"4100 19TH ST, SAN FRANCISCO, CA, 94114",8,Castro,"(37.759399506533, -122.435146642037)",Web Self Service,
4366555,1/6/15 10:14,1/10/15 7:43,1/10/15 7:43,Closed,Case Completed - resolved: removed limb,DPW BUF Queue,Tree Maintenance,Damaged Tree,Fallen tree,"1980 FELL ST, SAN FRANCISCO, CA, 94117",5,Panhandle,"(37.77256799289, -122.450465864771)",Voice In,
4366315,1/6/15 9:24,1/7/15 6:17,1/7/15 6:17,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Damaged Tree,Fallen tree,"140 CASHMERE ST, SAN FRANCISCO, CA, 94124",10,Bayview,"(37.736848155119, -122.38566747877)",Voice In,
4366175,1/6/15 8:59,2/6/15 2:05,2/6/15 2:05,Closed,Case Completed - resolved: These trees look fine. I'm here in the storm and not seeing any broken limbs or any other damage from the trees. Trees occasionally drop limbs or branches but this is not a reason to cut them all down trees have value for the entire community.,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"768 MISSOURI ST, SAN FRANCISCO, CA, 94107",10,Potrero Hill,"(37.757129561452, -122.395898523394)",Voice In,
4365927,1/6/15 8:17,1/16/15 8:11,1/16/15 8:11,Closed,"Case Completed - resolved: Request Letter Sent.   SS sent letter. These SR resolved for tree at 400x Bosworth: 1625774, 1625775, 1619501",DPW Ops Queue,Tree Maintenance,Overgrown Tree,Pruning request,Intersection of BOSWORTH ST and ROUSSEAU ST,8,St. Mary's Park,"(37.7333132415495, -122.43027791962)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54ac0a25df866c252cc119f6/report.jpg
4365924,1/6/15 8:16,1/16/15 8:12,1/16/15 8:12,Closed,"Case Completed - resolved: Request Letter Sent.   SS sent letter. These SR resolved for tree at 400x Bosworth: 1625774, 1625775, 1619501",DPW Ops Queue,Tree Maintenance,Overgrown Tree,Pruning request,Intersection of BOSWORTH ST and ROUSSEAU ST,8,St. Mary's Park,"(37.7333132415495, -122.43027791962)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54ac09f0df866c252cc119e5/report.jpg
4365647,1/6/15 3:32,1/8/15 2:18,1/8/15 2:18,Closed,Case Completed - resolved:,DPW Ops Queue,Tree Maintenance,Tree Other,Other,Intersection of NORTH POINT ST and THE EMBARCADERO,3,Fisherman's Wharf,"(37.8074206877231, -122.407276280613)",Integrated Agency,
4372825,1/7/15 21:58,1/30/15 11:30,1/30/15 11:30,Closed,"Case Completed - resolved: Request Letter Sent.   letter sent for,empty basin. 1st letter sent 7.2014. will also email PUC to remind,them of,planting.",DPW Ops Queue,Tree Maintenance,Landscaping,Empty tree basin,"750 PHELPS ST, SAN FRANCISCO, CA, 94124",10,Bayview,"(37.740811676457, -122.390470225185)",Voice In,
4372751,1/7/15 20:33,1/9/15 8:03,1/9/15 8:03,Closed,Case Completed - resolved:,DPW Ops Queue,Tree Maintenance,Tree Other,Other,"2600 SAN BRUNO AVE, SAN FRANCISCO, CA, 94134",9,Portola,"(37.728683209767, -122.404206224536)",Integrated Agency,
4372209,1/7/15 16:41,1/14/15 10:22,1/14/15 10:22,Closed,Case Completed - resolved: initiate fine process for 2 trees,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"1470 HUDSON AVE, SAN FRANCISCO, CA, 94124",10,Bayview,"(37.738958776401, -122.385588054445)",Voice In,
