City,State,SizeRank,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket
Falls Church,VA,248,5.959221501,83.33,1.9652,1.9594,486800,0.247116969,1.437799542,0.007115859,10.6,0.097445967,0.015318304,81.5
Denton,TX,251,9.819277108,87.1,2.2024,1.5542,176700,0.971428571,14.36893204,0.058398415,30.7,0.039773859,0.016279131,59
Downey,CA,252,5.624652456,97.44,9.4545,2.8793,487000,0.82815735,7.339651752,0.019737166,84.6,0.105647182,0.048847943,87.5
Thornton,CO,254,9.468952734,97.86,2.7052,1.5262,276900,0.617732558,14.32700248,0.046554713,88.2,0.058595272,0.006083491,60
Frederick,MD,255,0.405931418,66.67,17.9428,6.7688,253700,-0.782166601,2.298387097,0.009361451,63.9,0.187514412,0.056952024,112
Westminster,CO,256,9.65987025,97.84,3.2373,0.9468,284400,0.815313719,15.18833536,0.048393108,36.6,0.050179098,0.012359083,57
Victorville,CA,258,5.397590361,96.23,13.2315,3.5374,194500,0.56876939,7.221609702,0.059485861,83.2,0.233271465,0.049637186,87
Waterbury,CT,259,0.503243744,47.37,9.6703,0.4967,99700,-0.3,-2.826510721,0.000170512,93.6,0.378052833,0.094651138,132
Temecula,CA,261,7.213160334,81.93,5.6266,2.5238,407000,0.172286488,3.906050549,0.048953317,55,0.115297906,0.03183007,80
Costa Mesa,CA,263,8.137164041,92.11,1.5377,0.6249,691700,0.319071791,7.107463611,0.016907619,37.4,0.042039009,0.033794898,70
Vista,CA,266,8.467099166,92.16,3.4485,2.7304,455800,0.684780208,6.024656897,0.028411584,51.7,0.07772862,0.025267334,74
Tracy,CA,267,7.879518072,87.18,6.1117,1.5642,408000,0.840336134,8.626198083,0.066502451,69.1,0.11496062,0.037555523,67
Ventura,CA,268,9.351251158,87.5,4.9661,1.3734,521100,0.676197836,7.134046053,0.040901938,41.6,0.075141295,0.024940353,74.5
Murrieta,CA,269,4.788693234,78.38,8.1534,2.1245,369800,0.352781547,2.979671401,0.050811249,64,0.139385477,0.035282033,74.5
Chico,CA,271,7.914735867,75,3.2033,0.9643,281700,0.177809388,5.466117559,0.031501597,43.2,0.110889337,0.019603257,73
Lowell,MA,273,2.667284523,100,13.5449,3.4187,229300,0.394045534,5.61953017,0.01710423,47.3,0.102744354,0.07957187,74
Clovis,CA,275,6.501390176,78.05,6.169,3.1137,284400,0.317460317,4.944649446,0.02757384,54.7,0.138993779,0.018771813,84
Sparks,NV,277,6.34939759,84.42,6.5721,3.4654,257300,0.783392088,17.1142467,0.050073844,72,0.111534486,0.055794135,72
Roseville,CA,278,9.175162187,84,4.1235,2.4766,388700,0.725576574,6.844420011,0.050280422,76,0.081746271,0.020033535,75
Norwalk,CA,279,5.309545876,89.29,7.5109,1.5599,402100,0.449662753,7.917337627,0.020241234,75.9,0.084191709,0.055611729,74
Redding,CA,280,1.370713624,67.5,10.1594,4.5039,223300,0.224416517,-0.223413762,0.018871473,109,0.168562976,0.023793001,99.5
El Monte,CA,281,5.248378128,94.74,2.5676,1.774,421800,0.500357398,2.953380522,0.00649597,64.8,0.069259344,0.0563812,97
Burbank,CA,283,8.709916589,93.75,1.5033,1.4272,684300,0.514101058,7.577424933,0.020051147,75.5,0.044890627,0.015532268,66
Everett,WA,286,6.396663577,94.4,7.1272,3.5183,270800,0.370644922,8.32,0.054416544,51.3,0.148249996,0.042406831,77
Broken Arrow,OK,287,8.448563485,81.94,2.5994,1.2936,154500,0.389863548,3.482920295,0.028161812,46.5,0.078046749,0.024958205,100
Spartanburg,SC,289,3.870250232,76,6.6642,1.2413,92600,0,3.463687151,0.030939525,63.2,0.115030156,0.062329615,138
Bend,OR,290,6.114921223,90.67,7.4032,6.2928,336600,0.657894737,12.65060241,0.005014854,59.2,0.070513265,0.03941883,90
Springfield,VA,294,5.27618165,89.36,4.4584,1.8822,445200,0.134952767,0.929494446,0.005298742,12.4,0.084577465,0.014553314,83
Hesperia,CA,298,5.21686747,82.5,16.364,5.0904,208000,0.531657806,8.61618799,0.061490385,79.1,0.185767945,0.043250779,86.5
Grand Junction,CO,299,4.329008341,77.91,11.7443,7.4452,188500,0.748262961,5.898876404,0.038880637,89.1,0.178859085,0.033318136,91
Rock Hill,SC,300,5.054680259,85.71,9.3411,3.1429,141900,0.566973777,6.611570248,0.034326991,40,0.097857396,0.058133858,99.5
Edison,NJ,303,5.271547729,85.45,1.4176,2.2727,339000,0.206916938,-0.964066608,0.009775811,21.8,0.081600274,0.098501743,143
West Covina,CA,304,6.18721038,95.35,4.064,0.7944,476100,0.316055626,5.401815364,0.015070363,77,0.060478233,0.042759105,69.5
Carlsbad,CA,305,9.392029657,97.22,1.927,0.8722,738300,0.517358747,5.411193604,0.026753352,37.8,0.04460523,0.018813137,74.5
Vacaville,CA,306,8.091751622,82.26,8.3388,2.3737,374400,0.564061241,7.401032702,0.045990919,53,0.114082905,0.02773774,70
Lewisville,TX,307,9.761816497,93.1,2.8709,2.0062,203900,0.592007893,15.9181353,0.060416871,40.6,0.035350308,0.010055831,55
Beaverton,OR,308,6.96107507,94.7,9.7294,5.0588,304100,0.695364238,11.80147059,0.04327195,39.4,0.069206534,0.03025568,55
Erie,PA,312,3.378127896,85.71,13.1257,1.9251,76200,0,-0.522193211,0.01476378,34.3,0.111856819,0.035978785,127
Green Bay,WI,317,4.90176089,76.79,5.2463,2.5712,117800,0.340715503,4.804270463,0.025687606,47.4,0.107796035,0.030675134,105
Fairfield,CA,318,4.835959222,82.69,12.579,3.9251,363700,0.720022155,9.055472264,0.052301347,62.4,0.144231522,0.03789903,63
Madera,CA,319,4.21223355,100,14.8202,3.8609,186200,0.215285253,5.735377626,0.036906552,70.8,0.187436145,0.041204205,94
San Mateo,CA,320,9.455050973,82.35,3.1844,0.8872,1070700,0.459748546,17.84063394,0.04871019,75.5,0.016632302,0.016191659,45
Daly City,CA,321,8.575532901,87.5,3.222,0.6385,765800,0.525072197,12.53490081,0.034531209,62.5,0.037086045,0.022513838,48
Perris,CA,322,5.523632994,74.07,10.1708,2.9137,250000,0.482315113,8.318890815,0.065324,66.6,0.170569991,0.041404237,87.5
San Leandro,CA,324,8.254865616,96.3,5.2481,2.2979,524700,0.865051903,13.32613391,0.038953688,52.1,0.060312146,0.029477539,51
South Gate,CA,326,6.548656163,100,7.2059,1.7879,366600,0.797360462,10.35520771,0.026974905,74.4,0.1073148,0.049204052,79.5
Town of Greece,NY,328,4.065801668,78.05,6.3145,3.936,122800,0,1.236603462,0.018526059,25.3,0.050423165,0.095383341,111
Richardson,TX,330,9.909175162,96.12,2.1684,1.191,236500,0.59549128,16.674889,0.060427061,24.1,0.038352861,0.007844591,55
Laurel,MD,333,0.668211307,61.11,15.4058,3.0035,295400,0,1.721763085,0.008419093,21.8,0.226250803,0.071574488,99
West Chester,PA,339,7.531047266,91.46,1.4024,0.3659,367600,-0.190062449,2.998038666,0.018291621,19.4,0.058785377,0.023732988,96.5
Columbia,MD,340,1.101946247,72.22,13.7996,2.717,330100,-0.211608222,0.090964221,0.00325053,53.6,0.140318999,0.0548335,103.5
Napa,CA,347,9.559777572,94.12,4.8027,0.5539,530800,0.663758771,9.964781438,0.033441974,64.2,0.052442651,0.01848371,78
Mission Viejo,CA,348,8.409638554,94.2,1.4182,0.8253,655500,0.706713781,5.930833872,0.014,35,0.043644002,0.031439895,85
Santa Cruz,CA,349,8.28081557,86.67,1.6822,1.3027,770900,0.626550059,7.322845608,0.02855753,60.9,0.031366206,0.026398246,60.5
Lakewood Township,NJ,350,6.141797961,81.82,3.5728,2.5966,279500,0.25107604,6.557377049,0.028776386,56.6,0.103961871,0.100286533,153.5
Antioch,CA,351,3.583873957,87.69,9.6723,3.609,342700,0.498533724,9.910198845,0.028368836,90.1,0.150017864,0.050870828,65
Centennial,CO,352,9.938832252,100,2.5387,0.4667,380300,0.635088648,11.85294118,0.038119905,27.4,0.043971807,0.005537406,62
Arvada,CO,356,9.738646895,98.47,2.5605,0.9135,318800,1.206349206,16.90502384,0.054215809,39.9,0.034206547,0.009171824,56
Rialto,CA,360,5.675625579,96.43,10.6052,4.3005,283500,0.603264727,6.538895152,0.059326279,69.8,0.126096408,0.043079301,78.5
Indio,CA,361,5.575532901,69.84,8.9996,5.1917,259500,0.50348567,5.060728745,0.056539499,61,0.164818565,0.032787332,98
Highlands Ranch,CO,362,9.972196478,100,1.3043,0.3413,415200,0.581395349,13.62889984,0.041194605,32.4,0.04808795,0.003143325,62
Federal Way,WA,364,4.150139018,80.77,16.515,4.9343,281000,0.500715308,9.980430528,0.056373665,65.8,0.132218423,0.048360728,75
Hillsboro,OR,365,7.504170528,86.79,7.3979,4.1739,289300,0.696136443,11.14099116,0.041562392,43.6,0.059039242,0.038995755,63
Bethlehem Township,PA,368,5.379981464,93.33,12.3193,1,246900,0.447518308,1.271534044,0.016569461,23.5,0.107955936,0.038548753,115.5
Greeley,CO,369,9.58665431,94.26,4.1971,1.0803,202000,0.84872691,13.54693648,0.051014851,42.1,0.080971769,0.006895093,68
Santa Monica,CA,373,9.11862836,100,4.0499,0.73,1285700,0.453160403,14.93831575,0.034954499,85.9,0.03214787,0.015132472,61.5
Yakima,WA,375,7.012974977,86.59,7.3921,1.9449,158600,0.126262626,5.522288756,0.043581337,29.5,0.109828785,0.032538456,100
Livermore,CA,385,9.332715477,93.1,4.0569,0.6021,689600,0.642148278,8.975979772,0.027660963,51.5,0.027773084,0.012550253,52
Duluth,MN,389,6.184430028,90.28,5.979,3.7755,129300,0.466200466,8.20083682,0.032312452,81.2,0.100838846,0.012982116,97
Anderson,SC,392,2.40407785,75.36,13.51,6.0191,115600,0.173310225,2.300884956,0.025025952,48.2,0.107967534,0.036431052,131.5
Concord,NC,395,4.368860056,78.95,7.7328,3.1843,158700,0.443037975,5.168986083,0.033654694,48.8,0.097717631,0.046813642,86.5
Allen,TX,397,9.859128823,92.55,2.58,0.9673,266200,0.528700906,14.10201457,0.0618858,48.7,0.035046721,0.005773183,57
Franklin,TN,398,9.297497683,88.59,2.331,0.7324,389700,0.515862781,6.854949273,0.027308186,22.6,0.055307401,0.006417281,78
Herndon,VA,399,6.789620019,87.3,2.2811,0.6698,483300,0.165803109,-1.084731887,-0.001537347,11.6,0.081495233,0.009068203,75
Midlothian,VA,400,6.641334569,85.71,7.5587,0.9436,260600,0.192233756,4.742765273,0.027118189,31.9,0.103920466,0.022015003,88.5
Toms River,NJ,401,0.84708063,75.79,9.597,7.423,250300,0.240288346,1.008878128,0.0094167,51.9,0.15613698,0.124899853,141
Bloomington,MN,404,6.514365153,84.34,6.6387,1.9798,211100,0.33269962,-0.984990619,0.026494552,47.7,0.098090138,0.016538088,95.5
Edmond,OK,406,8.031510658,90.24,1.0689,0.9956,203100,0.197335964,3.201219512,0.029807976,49.2,0.070455296,0.016503245,73
Boulder,CO,417,9.90176089,100,0.7386,0.7597,616500,1.06557377,16.32075472,0.041978913,25.5,0.053088209,0,67
Clifton,NJ,418,3.491195551,78.12,4.5056,2.8229,301800,0.299102692,3.427004798,0.018353214,28.1,0.189427348,0.127745847,133
Norwalk,CT,419,5.104726599,78.12,4.1894,0.7286,378700,0.264760392,0.47758026,0.009469237,33.6,0.131356408,0.069346187,129
Citrus Heights,CA,420,7.066728452,87.72,5.1871,3.7597,260000,0.541376643,6.863953966,0.054442308,65.3,0.121839402,0.027530471,70
Buena Park,CA,421,8.411492122,88.89,6.1432,1.9046,491400,0.634855622,7.527352298,0.01485348,36.7,0.063127652,0.020873497,77
Germantown,MD,426,0.138090825,73.17,15.839,8.8224,281900,-0.070896845,-0.38869258,8.87E-05,54.8,0.197353899,0.046137069,118
Richmond,CA,427,6.577386469,91.3,8.8719,1.8059,381600,0.925681037,16.12903226,0.043322851,63.8,0.118786365,0.040111786,53.5
Hawthorne,CA,428,5.249304912,81.82,6.8298,1.0304,504300,0.258449304,7.6184379,0.019089827,77.3,0.072635983,0.025345622,62
San Tan Valley,AZ,429,2.28544949,80,12.1647,5.5201,166500,0.604229607,5.180037903,0.030468468,77.8,0.199367089,0.035480859,84
Johnson City,TN,430,5.918443003,86.46,7.7938,6.7364,128800,0.077700078,2.547770701,0.028400621,37.1,0.11673839,0.0100082,137
Chino,CA,431,8.679332715,91.18,4.1064,1.3312,422500,0.427858331,2.923264312,0.046518343,36.9,0.086121677,0.054770869,87
Parma,OH,432,3.771084337,89.47,15.2843,3.9701,96700,0.41536864,4.540540541,0.035863495,40,0.226597127,0.039389889,98
Spokane Valley,WA,434,5.911955514,91.67,8.8364,5.4071,169800,0.354609929,7.264687303,0.033133098,33.5,0.1062117,0.038958863,85
Lexington,SC,435,3.293790547,68.09,16.0277,3.2997,145900,0.13726836,1.956673655,0.039362577,69.6,0.093784916,0.03934795,109
Santa Barbara,CA,437,8.962001854,92,0.9672,1.6373,1067400,0.178320038,8.244599939,0.045175192,40.9,0.035921144,0.036448145,93
Alhambra,CA,439,6.140871177,96.3,3.3944,0.5072,561700,0.053437834,3.158861341,0.010542994,62.7,0.055984975,0.0128753,62.5
Leesburg,VA,440,4.83781279,75.71,6.6905,1.9573,460500,0.174026539,1.835471031,0.004901194,16.4,0.103386409,0.0222912,91
Kent,WA,441,5.388322521,93.1,7.8992,5.3846,300600,0.737265416,12.20604703,0.064803726,69.6,0.137422914,0.05303099,68
Loveland,CO,443,8.695088044,95.83,5.2443,1.0559,273000,0.441501104,13.89236546,0.036952381,62.5,0.051823202,0.008041317,64
Sterling,VA,444,4.236329935,88.33,5.2272,1.8192,372700,0.188172043,0.756961341,0.004628387,19.1,0.104603394,0.024972012,82.5
Cleveland,TN,445,3.016682113,72.06,10.0014,5.0783,120000,0.250626566,2.214650767,0.026683333,38.8,0.1171746,0.025853619,105
Redwood City,CA,447,9.797961075,100,1.9394,0.3374,1268900,0.962762572,19.16791886,0.052372133,80,0.014388882,0.011437949,43.5
Quincy,MA,448,6.681186284,92.31,8.3333,1.1504,377800,0.159066808,7.0861678,0.02272631,17,0.078420761,0.025158426,73.5
Danbury,CT,449,1.275254866,66.67,7.9063,0.7706,247800,0.202183583,1.682396389,0.007175141,48.5,0.2210747,0.06899949,110
Arden-Arcade,CA,450,6.920296571,90.48,7.2454,2.4219,305500,0.725354435,8.525754885,0.055643208,72.2,0.136410896,0.018241329,66.5
Ashburn,VA,458,3.691380908,53,1.5007,1.6207,480700,-0.083142798,0.271172299,0.003072602,13.7,0.123067573,0.013950129,97
Jackson,TN,459,1.851714551,73.91,12.8947,5.6658,89700,0.33557047,2.866972477,0.041070234,85,0.217761478,0.033785701,144.5
Watsonville,CA,460,6.240037071,100,9.2415,2.9413,459800,0.921861282,8.494572912,0.035411048,55.5,0.101574629,0.050218341,75
Lakewood,CA,462,6.309545876,92.68,5.1528,0.455,497400,0.566114032,7.429805616,0.018659027,85.4,0.063681789,0.038485858,60.5
Longmont,CO,463,9.455977757,97.65,4.4829,0.4522,302100,1.206030151,17.86968396,0.045051308,53.8,0.059411201,0.004996614,57
Medford,OR,465,3.31047266,84.13,16.7628,5.2661,219200,0.874367234,10.15075377,0.04185219,80.2,0.136478987,0.068245177,75
Cranston,RI,467,5.089898054,74.19,4.89,4.1476,203700,1.091811414,7.154129406,0.046563574,42.2,0.169108684,0.056402973,93
Tustin,CA,471,7.447636701,90,1.6072,1.8088,630300,0.606544294,4.027067173,0.009663652,38.5,0.062466391,0.015172225,65
Brooklyn Park,MN,472,1.348470806,84.85,17.032,7.0582,181000,0.332594235,2.433503113,0.029563536,84.1,0.148195221,0.033065653,85
Walnut Creek,CA,473,9.249304912,93.42,1.3473,0.39,768700,0.720649895,9.267945984,0.025018863,43.6,0.03757288,0.008012186,47
Whittier,CA,476,7.544949027,100,5.6268,0.8881,484700,0.560165975,7.687180627,0.018621828,82.8,0.078226479,0.030468699,76
Eau Claire,WI,479,7.660797034,83.87,2.2857,1.2876,142700,0.070126227,4.312865497,0.030448493,18.6,0.082348292,0.020191816,84
Thousand Oaks,CA,480,9.582020389,85.71,3.5146,1.1194,663500,0.698133252,5.367635382,0.034289375,40.3,0.053032541,0.022910117,77
Upland,CA,481,7.539388323,85.71,3.6212,2.0881,504600,0.578034682,3.211290652,0.043200555,37.5,0.075513082,0.038375377,74
Scranton,PA,483,0.521779425,50,26.7591,2.9998,79800,-0.25,-2.682926829,0.014010025,58.3,0.298417129,0.049919385,163
Manteca,CA,484,7.124189064,90.48,8.8774,2.5639,316100,0.990415335,10.9122807,0.077130655,61.6,0.113945708,0.026591219,60
Sumter,SC,488,3.010194625,73.42,15.6328,2.0688,88800,-0.448430493,2.068965517,0.04393018,44.3,0.16475473,0.042708726,159.5
Carson,CA,489,2.02965709,94.44,13.2437,2.4815,437300,0.298165138,5.322736031,0.014376858,109.5,0.109361355,0.044897946,65
Bethlehem,PA,491,2.272474513,77.19,12.9199,4.5135,144000,0.348432056,0.769769069,0.013888889,37.9,0.164849996,0.061103527,119.5
Bellflower,CA,494,2.40871177,90.91,9.6617,2.8648,426800,0.140778977,5.74826561,0.015058575,72.7,0.100187617,0.041198502,59.5
Covina,CA,498,4.252085264,90.24,6.2899,2.3777,448900,0.066874721,4.49255121,0.011240811,96.3,0.061991666,0.045636689,92
Conway,AR,501,5.160333642,73.21,11.6593,3.4452,136000,0.147275405,4.534973098,0.033029412,41.9,0.098096819,0.019226445,94
Redmond,WA,502,9.533827618,93,2.1903,1.4772,614500,0.326530612,8.626480467,0.05537022,25,0.056491716,0.020855828,55
New Britain,CT,505,2.324374421,88.89,2.093,0.815,130600,0,0.771604938,0.005405819,71.7,0.270977029,0.093106205,109
Maryville,TN,506,7.198331789,73.33,6.8426,0.605,148900,0.201884253,6.205420827,0.046937542,46.8,0.11001678,0.018489873,117.5
Pittsburg,CA,508,4.34476367,91.18,11.2968,2.6213,330000,0.67114094,10.775428,0.035415152,70.4,0.152676995,0.041746949,58
Valparaiso,IN,509,2.267840593,57.14,9.4541,2.3452,182300,-0.21893815,3.579545455,0.019747669,38.8,0.118250443,0.026894302,92
Redlands,CA,511,8.746061168,80.95,7.7153,2.1983,366600,0.852819807,5.284319357,0.05700491,45.5,0.108888534,0.021395046,90.5
North Charleston,SC,514,2.795180723,85.71,9.8944,4.0112,132600,0.53070508,5.154639175,0.023476621,49.5,0.153384115,0.046103561,96
Turlock,CA,518,8.30583874,83.33,6.3439,2.1781,260600,0.578927055,7.552620718,0.048760553,62.5,0.122059932,0.023577172,84
Pawtucket,RI,519,4.465245598,84.62,4.3731,5.1826,160300,0.817610063,5.599472991,0.046412976,53.5,0.235701675,0.056089776,98
Saint Charles,MO,521,4.460611677,73.33,10.5445,3.333,169400,0.236686391,8.104658583,0.036399055,57.9,0.092722152,0.027687981,75
Lexington,NC,522,5.530120482,64.52,8.5792,1.5026,107000,1.03871577,1.229895932,0.03571028,25.2,0.12962073,0.036676758,138
Porterville,CA,523,3.832252085,93.1,11.6786,6.4539,155400,0.452488688,7.617728532,0.053294723,49.5,0.223024764,0.038334435,76
Folsom,CA,524,9.471733086,80.56,4.0063,0.8673,461400,0.522875817,5.995864921,0.04446684,44.8,0.08157709,0.018541409,71
Tulare,CA,527,4.702502317,75,11.3654,3.5824,163500,0.615384615,10.1010101,0.057657492,101.7,0.191735077,0.034833091,93
Baldwin Park,CA,528,3.739573679,100,6.5385,1.5966,370900,0.243243243,4.010095345,0.011536802,69.5,0.076274945,0.052325581,97
Lynnwood,WA,529,7.715477294,96.97,8.5987,2.0787,364900,0.32994226,9.055588763,0.057566457,29,0.094419137,0.033062935,60.5
Lake Forest,CA,530,8.338276182,87.27,2.9695,2.1335,645600,0.482490272,5.369675208,0.013155204,35.1,0.046677401,0.02456715,71
San Ramon,CA,532,8.77849861,92.86,2.3713,0.5401,922900,0.446234219,7.151979566,0.019917651,50,0.031042898,0.013424252,59
Camarillo,CA,534,9.274328082,87.1,3.5475,0.5366,556500,1.145038168,7.390968738,0.039471698,46.2,0.071141486,0.029469692,70
Springfield,OR,535,4.613531047,90.91,10.4122,5.2781,190200,0.634920635,7.154929577,0.0303102,39.7,0.115891154,0.035056572,78.5
Petaluma,CA,536,8.155699722,90.91,4.3593,2.5871,588400,0.581196581,8.10214955,0.02810673,60.9,0.043449221,0.00503432,51
La Mesa,CA,537,8.025949954,88.24,3.6127,1.9028,477600,0.780755434,8.891928865,0.032979481,56.8,0.087266738,0.025641977,65
Huntington Park,CA,538,3.500463392,100,6.6718,3.831,344000,0.145560408,3.272290603,0.011828488,84.3,0.114769231,0.045576408,76
Stafford,VA,542,1.959221501,84.13,6.7255,5.6909,308500,0.488599349,1.781590234,0.008226904,31.6,0.21343541,0.022412993,114
Mount Pleasant,SC,545,8.786839666,88.12,1.9352,1.8186,385700,0.468872102,6.753390534,0.02859217,34.1,0.063298049,0.02092517,96
Asheville,NC,550,9.385542169,96.19,2.9955,0.8692,222600,0.7239819,8.058252427,0.028800539,20.1,0.054973673,0.013953762,81
Pleasanton,CA,551,9.83781279,100,1.5423,0.4333,955700,0.865435356,11.41291676,0.030686408,46.2,0.02385358,0.007933053,51
Brick,NJ,553,0.584800741,71.01,10.5216,9.3968,244800,0.081766149,0.040866367,0.010531046,56.1,0.12988627,0.130974866,141
Gresham,OR,554,6.93141798,91.43,12.654,4.9957,255200,1.109350238,12.07729469,0.045619122,44.9,0.062279311,0.035795596,67
Greenville,NC,555,2.222428174,60.94,9.2144,5.4048,113100,0,1.617250674,0.040088417,45.8,0.163423754,0.041697001,160
Apple Valley,CA,558,5.300278035,89.29,11.8523,5.2014,197900,0.456852792,4.764425622,0.055760485,71.4,0.198937923,0.033371012,91
Kirkland,WA,559,9.37442076,94.51,4.2901,1.7763,516400,0.564751704,10.93447905,0.062350891,36.5,0.072037067,0.026735509,59.5
Waipahu,HI,560,8.624652456,100,3.125,1.117,573600,0.649236708,7.799285849,0.017728382,19.1,0.049279249,0.051020408,67
Redondo Beach,CA,561,9.05931418,100,3.7085,0.8308,902800,0.568118525,8.24940048,0.021773372,73.6,0.037578513,0.002733154,63
Yuba City,CA,562,8.473586654,89.66,5.5345,3.8283,238200,0.889453621,8.223534757,0.078425693,52,0.151731369,0.030978269,80.5
Mooresville,NC,565,8.350324374,82.88,4.5895,1.9595,223200,0.450045005,6.845380565,0.039659498,36.5,0.069899044,0.033094748,112
Casa Grande,AZ,566,1.781278962,64,11.681,5.5458,136000,0.443131462,2.564102564,0.02525,198.6,0.209184197,0.046560319,93.5
Centreville,VA,568,4.156626506,75.76,3.9547,1.1837,377500,0.053008216,0.39893617,0.00213245,16.3,0.103629788,0.021201521,82
San Marcos,CA,569,9.090824838,80.95,4.9093,2.168,507900,0.87388282,8.040842374,0.031675527,45.8,0.077228778,0.016616687,79
Pasco,WA,570,8.363299351,96.92,4.7052,2.1072,172100,0.467016929,8.307111391,0.044927368,27.3,0.086406518,0.02853598,79
Warwick,RI,571,2.46339203,83.33,13.5559,5.7251,182400,0.551267916,6.293706294,0.04310307,54.7,0.193149796,0.057755305,87
Bremerton,WA,572,3.846153846,89.83,12.3183,6.4261,223800,0.992779783,10.51851852,0.039682752,52.9,0.182671575,0.04030308,75
Spring Valley,CA,573,7.009267841,92,8.2377,1.2572,394400,0.766479305,7.495230308,0.031331136,62.1,0.108625549,0.039847294,70.5
O Fallon,MO,575,6.248378128,76.12,6.9244,3.1208,205600,0.439667807,9.770421783,0.043847276,59.6,0.085529535,0.023754064,70
Passaic,NJ,577,3.036144578,50,4.375,4.7668,295400,0.544588155,4.863329783,0.026601219,60.5,0.20697074,0.239085239,156
Lodi,CA,579,8.062094532,77.42,6.762,1.5465,267500,0.526118001,6.914468425,0.063771963,48.8,0.127300468,0.025086599,95.5
Ellicott City,MD,580,4.468952734,80.39,5.6997,1.7573,485200,0.247933884,-0.082372323,0.002693735,22.5,0.081189593,0.017990404,111
Plymouth,MN,582,4.426320667,77.78,5.0012,2.1781,298400,0.167841558,-1.842105263,0.020492627,38,0.117274115,0.012287454,112
Waldorf,MD,583,1.308619092,77.59,18.5974,11.3785,263800,0.840978593,7.541785569,0.031793025,78.6,0.35169024,0.074819815,116
Marysville,WA,584,4.764596849,89.13,11.9263,2.2501,276700,0.253623188,8.339859045,0.052927358,47.9,0.131381309,0.049273493,69
Hanford,CA,586,6.813716404,71.43,8.6728,4.3944,174800,0.807381776,8.03461063,0.086933638,47.1,0.22940642,0.032343234,90
Lynwood,CA,587,6.298424467,100,11.0952,1.1588,335800,0.780312125,10.31537451,0.024937463,80.4,0.134571298,0.05451448,76
Flower Mound,TX,589,9.936978684,95.38,3.5778,1.0148,334200,0.723327306,14.10037555,0.059658887,26.2,0.03321282,0.004745672,56
Avondale,AZ,590,4.602409639,82.76,10.0937,3.7972,180700,1.062639821,7.945041816,0.036325401,104.8,0.198140672,0.026468928,68
San Rafael,CA,593,8.424467099,83.33,1.3576,0.6614,871800,0.972897846,7.976219965,0.01905827,99.2,0.033123754,0.011655792,51
Union City,CA,597,9.720111214,95.65,4.7613,0.5497,707900,0.84045584,14.9561546,0.047558977,51.3,0.04090623,0.018461538,56.5
North Little Rock,AR,604,0.654309546,80.85,15.9285,5.6895,87500,-0.228050171,-1.57480315,0.026057143,68.5,0.168915427,0.031897882,133
Vienna,VA,606,6.198331789,84.29,0.5682,0.6232,710600,-0.02813731,-1.29184609,-0.000526316,5.7,0.056635894,0.014368053,96.5
Chino Hills,CA,609,7.239110287,95.83,5.0127,1.1189,588700,0.153113304,0.787536381,0.049089519,23.4,0.054524474,0.035273369,97
Bellingham,WA,610,7.105653383,92.31,3.5018,1.737,315200,0.414144632,5.736330091,0.010057107,25.6,0.080366009,0.020655138,70
Salisbury,MD,611,0.512511585,72.73,19.1024,7.9441,128000,0.470957614,-0.621118012,0.010171875,70.1,0.237702935,0.053760009,136
Eagan,MN,614,5.721964782,72.22,11.992,0.9224,249500,0.564288593,3.915035402,0.030601202,62.1,0.092754188,0.018228347,86.5
Pico Rivera,CA,616,5.736793327,81.25,6.0857,2.7269,389300,0.776598499,6.921175501,0.017133316,70.4,0.090592819,0.053763441,78.5
Bel Air,MD,618,3.475440222,68.09,9.8562,2.6974,275800,0.363901019,0.583515682,0.004597534,37.3,0.106862995,0.037753746,131
York Township,PA,619,1.254865616,75,11.1111,4.2519,171300,-0.116618076,2.390914525,0.018120257,24,0.179273377,0.046511628,98
Auburn,WA,621,4.298424467,61.9,8.1118,4.9084,286700,0.631800632,12.34326019,0.063215905,61.6,0.120976241,0.052112827,68
Gastonia,NC,622,4.464318814,76.09,10.9159,1.9801,107100,0.469043152,7.4222668,0.040578898,38.4,0.131655132,0.050772321,93.5
Bethesda,MD,628,7.103799815,95,1.2069,0.305,804200,0,-0.359311114,0.001309376,10.3,0.062398311,0.011998796,80
Appleton,WI,632,6.784059314,83.33,10.8717,0.9912,126900,-0.078740157,3.170731707,0.035035461,28.6,0.087402441,0.02831682,104
Lorain,OH,633,1.411492122,66.67,11.1586,5.1534,64500,-0.154798762,1.57480315,0.02924031,66.7,0.329741373,0.058280007,111
Maple Grove,MN,634,5.898053753,65.62,4.8562,2.4177,245400,0.204164965,0.987654321,0.021303993,48.9,0.108068695,0.009168386,99
West Hartford,CT,635,3.831325301,59.09,1.4424,1.4997,286900,-0.381944444,-1.408934708,-0.001784594,46.1,0.097071718,0.025287655,103
Aiken,SC,636,6.27618165,70.59,6.0129,2.8259,115600,0.434404865,5.378304467,0.038010381,36.5,0.139670501,0.029633304,154
Glen Allen,VA,637,7.777571826,80.95,5.164,0.7063,287700,0.313807531,3.750450775,0.024157108,20.1,0.098367514,0.016526021,82
Statesville,NC,638,5.49768304,62.26,9.9227,1.8866,111400,0.36036036,7.012487992,0.031723519,28.2,0.10171823,0.04479355,163
